日付時刻,MACアドレス,ユーザーネーム,赤色情報,黄色情報,緑色情報,青色情報,白色情報,ブザー情報,WDT監視情報
2019/12/18 20:29:30,743A65FFFE4A54E4,743A65FFFE4A54E4,0,0,0,0,0,0,9
2019/12/18 20:29:30,743A65FFFE4A54FD,743A65FFFE4A54FD,0,1,1,0,0,0,9
2019/12/18 20:29:30,743A65FFFE4A54FD,743A65FFFE4A54FD,0,1,0,0,0,0,9
2019/12/18 20:29:35,743A65FFFE4A54FD,743A65FFFE4A54FD,0,0,0,0,0,0,9
2019/12/18 20:29:35,743A65FFFE4A5548,743A65FFFE4A5548,0,2,1,0,0,0,9
2019/12/18 20:29:37,743A65FFFE4A5548,743A65FFFE4A5548,0,2,0,0,0,0,9
2019/12/18 20:29:43,743A65FFFE4A5547,743A65FFFE4A5547,0,0,1,0,0,0,9
2019/12/18 20:29:44,743A65FFFE4A5548,743A65FFFE4A5548,0,0,0,0,0,0,9
2019/12/18 20:30:01,743A65FFFE4A550E,743A65FFFE4A550E,0,2,0,0,0,0,9
2019/12/18 20:30:02,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 20:30:03,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 20:30:11,743A65FFFE4A54FE,743A65FFFE4A54FE,0,1,1,0,0,0,9
2019/12/18 20:30:11,743A65FFFE4A54FE,743A65FFFE4A54FE,0,1,0,0,0,0,9
2019/12/18 20:30:33,743A65FFFE4A54E4,743A65FFFE4A54E4,0,0,1,0,0,0,9
2019/12/18 20:30:40,743A65FFFE4A54FE,743A65FFFE4A54FE,0,0,0,0,0,0,9
2019/12/18 20:30:50,743A65FFFE4A550E,743A65FFFE4A550E,0,1,1,0,0,0,9
2019/12/18 20:30:53,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 20:30:57,743A65FFFE4A5548,743A65FFFE4A5548,0,0,1,0,0,0,9
2019/12/18 20:31:44,743A65FFFE4A54FE,743A65FFFE4A54FE,0,0,1,0,0,0,9
2019/12/18 20:31:55,743A65FFFE4A5505,743A65FFFE4A5505,0,2,1,0,0,0,9
2019/12/18 20:31:56,743A65FFFE4A5505,743A65FFFE4A5505,0,2,0,0,0,0,9
2019/12/18 20:31:57,743A65FFFE4A5505,743A65FFFE4A5505,0,0,0,0,0,0,9
2019/12/18 20:32:22,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 20:32:24,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 20:34:13,743A65FFFE4A5577,743A65FFFE4A5577,0,1,1,0,0,0,9
2019/12/18 20:34:13,743A65FFFE4A5577,743A65FFFE4A5577,0,1,0,0,0,0,9
2019/12/18 20:34:15,743A65FFFE4A5577,743A65FFFE4A5577,0,0,0,0,0,0,9
2019/12/18 20:35:01,743A65FFFE4A5577,743A65FFFE4A5577,0,0,1,0,0,0,9
2019/12/18 20:35:13,743A65FFFE4A5505,743A65FFFE4A5505,0,0,1,0,0,0,9
2019/12/18 20:35:33,743A65FFFE4A5511,743A65FFFE4A5511,0,1,0,0,0,0,9
2019/12/18 20:35:41,743A65FFFE4A5511,743A65FFFE4A5511,0,0,0,0,0,0,9
2019/12/18 20:36:13,743A65FFFE4A556B,743A65FFFE4A556B,0,1,1,0,0,0,9
2019/12/18 20:36:13,743A65FFFE4A556B,743A65FFFE4A556B,0,1,0,0,0,0,9
2019/12/18 20:36:27,743A65FFFE4A5511,743A65FFFE4A5511,0,0,1,0,0,0,9
